instance;approach;arc;arc_type;class;graph_density;link_capacity_ratio;charge_arc;prob_sharing_NFS
7;MILP;7;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;9;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;11;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;8;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;13;fronthaul;tiny_tight_low_strong;0.1;tight;0.686573093220339;0.1
7;MILP;15;backhaul;tiny_tight_low_strong;0.1;tight;0.46200492165305396;0.1
7;MILP;17;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;4;fronthaul;tiny_tight_low_strong;0.1;tight;0.9644717261904762;0.1
7;MILP;6;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;10;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;14;fronthaul;tiny_tight_low_strong;0.1;tight;0.686573093220339;0.1
7;MILP;16;backhaul;tiny_tight_low_strong;0.1;tight;0.0004679506475275213;0.1
7;MILP;19;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;12;fronthaul;tiny_tight_low_strong;0.1;tight;0.8690308988764045;0.1
7;MILP;20;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;21;fronthaul;tiny_tight_low_strong;0.1;tight;0.9509477459016394;0.1
7;MILP;23;backhaul;tiny_tight_low_strong;0.1;tight;0.00030389708331507497;0.1
7;MILP;18;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;MILP;22;fronthaul;tiny_tight_low_strong;0.1;tight;0.9509477459016394;0.1
7;MILP;24;backhaul;tiny_tight_low_strong;0.1;tight;0.30003580272707164;0.1
7;Heuristic;1;fronthaul;tiny_tight_low_strong;0.1;tight;0.7075600436681223;0.1
7;Heuristic;3;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;5;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;7;backhaul;tiny_tight_low_strong;0.1;tight;0.5587284482758621;0.1
7;Heuristic;9;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;2;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;11;fronthaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
7;Heuristic;8;backhaul;tiny_tight_low_strong;0.1;tight;0.0;0.1
